,company_name,company_number,company_status,company_type,date_of_cessation,country,date_of_creation,address_line_1,locality,postal_code,address_line_2,region,country,SICCODE_0,Value,date_of_creation_month,date_of_cessation_month
147,THE NEW IVY LEAF CLUB LTD,7806175,receivership,private-limited-guarant-nsc,1970-01-01,0,2011-11-10,38a Suffolk Street,Sunderland,SR2 8JZ,0,Tyne And Wear,0,56301,True,11,01
148,FRIAR PARK SOCIAL CLUB LTD,7825728,dissolved,private-limited-guarant-nsc,2017-10-17,0,2011-10-27,334 Adams Hill,Birmingham,B32 3PD,0,West Midlands,0,56301,True,10,10
149,MAD STAR LTD,7845337,dissolved,ltd,2014-10-28,0,2011-11-11,One Great Cumberland Place,London,W1H 7LW,Marble Arch,0,0,56301,True,11,10
150,DELIGHTFULLY LTD,7805488,dissolved,ltd,2017-03-28,0,2011-11-10,49 High Street,Saffron Walden,CB10 1AR,0,Essex,0,56103,True,11,03
151,KASABA LTD,7804844,dissolved,ltd,2020-11-17,0,2011-11-10,8 The Broadway,St. Ives,PE27 5BN,0,Cambridgeshire,0,56103,True,11,11
152,SANTOS KEBAB HOUSE LTD,7803769,dissolved,ltd,2015-09-15,0,2011-10-10,22 Bury Old Road,Salford,M7 4QJ,0,0,0,56103,True,10,09
153,TM STAR LONDON LIMITED,7804352,dissolved,ltd,2018-12-18,0,2011-10-10,103 Kenton Road,Harrow,HA3 0AN,0,Middlesex,0,56103,True,10,12
154,LH (DEVON) LTD,7804956,dissolved,ltd,2015-02-17,0,2011-11-10,Winston Churchill House,Birmingham,B2 4BG,Ethel Street,West Midlands,0,56103,True,11,02
155,KC (BOLTON) LIMITED,7805172,dissolved,ltd,2016-03-22,0,2011-11-10,90-92 Bradshawgate,Bolton,BL1 1QQ,0,0,0,56103,True,11,03
156,MINOX LTD,7807375,dissolved,ltd,2016-01-26,0,2011-12-10,C/O 174 Bounces Road,London,N9 8LA,0,0,0,56103,True,12,01
157,S P (HANTS) LIMITED,7807044,dissolved,ltd,2017-01-31,0,2011-12-10,19 Garbett Road,Winchester,SO23 0NY,Winnall,Hampshire,0,56103,True,12,01
158,CK FOODS LTD,7805844,dissolved,ltd,2017-12-09,0,2011-11-10,13 Wendover Road,Birmingham,B65 8LU,Rowley Regis,0,0,56103,True,11,12
159,ALHAS LIMITED,7808569,dissolved,ltd,2015-05-26,0,2011-10-13,10 James Reckitt Avenue,Hull,HU8 7TP,0,0,0,56103,True,10,05
160,H & A GUILDFORD LIMITED,7808860,dissolved,ltd,2015-05-19,0,2011-10-13,7 Westmoreland House,London,NW10 6RE,Scrubs Lane,0,0,56103,True,10,05
161,BEXMILL LIMITED,7808863,dissolved,ltd,2017-03-28,0,2011-10-13,25 Hanbury Road,Newport,CF81 8QT,Bargoed,Cardiff,0,56103,True,10,03
162,CHICKEN LANE LIMITED,7807979,dissolved,ltd,2015-06-30,0,2011-12-10,179 Firs Lane,Leigh,WN7 4SU,0,Lancashire,0,56103,True,12,06
163,WORDLOCK LTD,7809926,dissolved,ltd,2014-07-10,United Kingdom,2011-10-14,Winston Churchill House,Birmingham,B2 4BG,Ethel Street,West Midlands,United Kingdom,56103,True,10,07
164,S&B FRYERS LTD,7810342,dissolved,ltd,2015-08-12,0,2011-10-14,111 Malling Road,Snodland,ME6 5AB,0,Kent,0,56103,True,10,08
165,SOPHIAN LIMITED,7813052,dissolved,ltd,2016-08-03,0,2011-10-17,114 Hamlet Court Road,Westcliff-On-Sea,SS0 7LP,0,Essex,0,56103,True,10,08
166,SIZZLES (LEICESTER) LIMITED,7812135,dissolved,ltd,2014-10-21,England,2011-10-17,40 Hall Road,Leicester,LE7 9SX,Scraptoft,Leicestershire,England,56103,True,10,10
167,J STOCK LIMITED,7814410,dissolved,ltd,2015-09-06,0,2011-10-18,Winston Churchill House,Birmingham,B2 4BG,Ethel Street,West Midlands,0,56103,True,10,09
168,CASPER PIZZA LIMITED,7814313,dissolved,ltd,2015-09-06,0,2011-10-18,3 Rossgate,Hemel Hempstead,HP1 3LG,0,Herts,0,56103,True,10,09
169,FULL HOUSE (HWK) LTD,7814629,dissolved,ltd,2017-05-13,England,2011-10-18,10-12 New College Parade,London,NW3 5EP,Finchley Road,0,England,56103,True,10,05
170,KHAN'S BENFLEET LTD,7815126,dissolved,ltd,2015-02-17,0,2011-10-19,267 Kiln Road,Benfleet,SS7 1RU,0,Essex,0,56103,True,10,02
171,NUMBER 1 CHEF LIMITED,7815530,dissolved,ltd,2016-11-22,0,2011-10-19,Suite 311 Ajp Business Centre,London,NW2 7HD,152-154 Coles Green Road,0,0,56103,True,10,11
172,K STOCK LIMITED,7814495,dissolved,ltd,2015-02-17,0,2011-10-18,Winston Churchill House,Birmingham,B2 4BG,Ethel Street,West Midlands,0,56103,True,10,02
173,MAC'S GRIDDLE LTD,7815571,dissolved,ltd,2018-03-27,0,2011-10-19,6 Stainer Close,Newton Le Willows,WA12 9WY,0,Merseyside,0,56103,True,10,03
174,EL TURKISTAN LIMITED,7815535,active,ltd,1970-01-01,0,2011-10-19,9 The Parade,Tadworth,KT20 6AT,Brighton Road,Surrey,0,56103,True,10,01
175,THE CHICKEN PLACE LTD,7816247,dissolved,ltd,2015-03-31,0,2011-10-19,84 Kingsley Road,Hounslow,TW3 1QA,0,0,0,56103,True,10,03
176,BESOZ LIMITED,7817677,dissolved,ltd,2020-03-24,0,2011-10-20,117 Hatton Avenue,Slough,SL2 1PJ,0,Berkshire,0,56103,True,10,03
177,EXOBELL LIMITED,7817495,dissolved,ltd,2015-09-06,0,2011-10-20,287 Kentish Town Road,London,NW5 2JS,0,0,0,56103,True,10,09
178,BRITTONS OF NEW OSCOTT LIMITED,7819751,dissolved,ltd,2015-07-04,0,2011-10-21,Alexander House,Birmingham,B1 3EG,60 - 61 Tenby Street North,0,0,56103,True,10,07
179,GLOBAL FAST FOOD LTD,7819923,dissolved,ltd,2016-09-13,Wales,2011-10-24,Suite 11 Tredegar Chambers,Newport,NP20 4AQ,Bridge Street,Gwent,Wales,56103,True,10,09
180,APOLLO FAST FOOD LIMITED,7823333,dissolved,ltd,2016-05-07,United Kingdom,2011-10-26,Flat 2 12 Coniscliffe Road,London,N13 5NW,Palmers Green,0,United Kingdom,56103,True,10,05
181,WATERLOO TAKEAWAY LIMITED,7826137,dissolved,ltd,2015-06-16,0,2011-10-27,109 South Road,Liverpool,L22 0LT,0,0,0,56103,True,10,06
182,POPEYES (MORETON) LIMITED,7827784,dissolved,ltd,2017-11-28,0,2011-10-28,18 Upton Road,Wirral,CH46 0PA,Moreton,Merseyside,0,56103,True,10,11
183,ALI BABA LANCASTER LTD,7829434,dissolved,ltd,2022-05-24,0,2011-10-31,95 King Street,Lancaster,LA1 1RH,0,Lancs,0,56103,True,10,05
184,WIRRAL LIMITED,7829598,dissolved,ltd,2015-06-16,0,2011-10-31,77 Wallasey Village,Wallasey,CH45 3LE,0,Wirral,0,56103,True,10,06
185,MY MR CHICKEN LIMITED,7828826,dissolved,ltd,2014-10-21,0,2011-10-31,159 The Pastures,High Wycombe,HP13 5RP,0,Buckinghamshire,0,56103,True,10,10
186,MURAT (UK) LIMITED,7830235,dissolved,ltd,2019-07-25,0,2011-01-11,Craftwork Studios,London,EC1Y 8NA,1-3 Dufferin Street,0,0,56103,True,01,07
187,AMMURAPI LIMITED,7830805,dissolved,ltd,2020-07-04,England,2011-01-11,21 Edensor Gardens,London,W4 2QY,0,0,England,56103,True,01,07
188,BENUSEN LIMITED,7831990,dissolved,ltd,2014-04-11,England,2011-02-11,266-268 High Street,Waltham Cross,EN8 7EA,0,Hertfordshire,England,56103,True,02,04
189,AFTALA LIMITED,7839074,dissolved,ltd,2022-11-07,0,2011-08-11,C/O Anderson Brookes Insolvency Practitioners Limi 4th Floor Churchgate House,Bolton,BL1 1HL,30 Churchgate,0,0,56103,True,08,11
190,SUBEATER LIMITED,7837384,dissolved,ltd,2020-04-05,0,2011-07-11,Quadrant House,London,E1W 1YW,4 Thomas More Square,0,0,56103,True,07,04
191,SHUM & MO ENTERPRISE LTD,7843383,dissolved,ltd,2015-06-16,0,2011-11-11,87 North Road,Poole,BH14 0LT,0,Dorset,0,56103,True,11,06
192,PIZZA VALO LIMITED,7849013,dissolved,ltd,2017-02-05,0,2011-11-16,293 Green Lanes,London,N13 4XS,Palmers Green,0,0,56103,True,11,02
193,MANDARIN CHINESE TAKEAWAY LTD,7851151,dissolved,ltd,2019-04-16,0,2011-11-17,352a Carlton Hill,Nottingham,NG4 1JB,0,0,0,56103,True,11,04
194,KPF LTD,7853417,dissolved,ltd,2015-10-11,0,2011-11-18,152 Stoke Newington Road,London,N16 7XA,0,0,0,56103,True,11,10
195,ANIKA LIMITED,7849048,dissolved,ltd,2015-12-29,0,2011-11-16,Qudnet House Cromwell Industrial Estate,London,E10 7QZ,Staffa Road,0,0,56103,True,11,12
196,RAJAH SAPPHIRE LIMITED,7851356,dissolved,ltd,2014-09-23,0,2011-11-17,11 Halliwick Court Parade,London,N12 0NB,Woodhouse Road,0,0,56103,True,11,09
197,IMPERIAL CHEF LIMITED,7851671,dissolved,ltd,2018-09-01,0,2011-11-17,The Manor House 260 Ecclesall Road South,Sheffield,S11 9PS,0,0,0,56103,True,11,09
198,THE DELI SANDWICH LTD,7855987,dissolved,ltd,2016-10-05,0,2011-11-22,300 St. Marys Road,Liverpool,L19 0NQ,Garston,0,0,56103,True,11,10
199,LITTLE SPROUTS CATERING COMMUNITY INTEREST COMPANY,7803031,dissolved,ltd,2021-07-27,0,2011-10-10,4 Winpenny Close,Yarm,TS15 9XG,0,Cleveland,0,56290,True,10,07
200,RPS REFRESH LTD,7805132,dissolved,ltd,2015-01-27,0,2011-11-10,22 Wyresdale Crescent,Greenford,UB6 8TH,Perivale,London,0,56290,True,11,01
201,GLE SLOANE AVENUE LIMITED,7806737,active,ltd,1970-01-01,United Kingdom,2011-12-10,Flat 1 5 Chelsea Embankment,London,SW3 4LF,Old Ferry House,0,United Kingdom,56290,True,12,01
202,BITE IT LTD,7806829,dissolved,ltd,2016-08-03,0,2011-12-10,89 Sycamore Road,Smethwick,B66 4NT,0,West Midlands,0,56290,True,12,08
203,CLIFTON STREET BAKERY LIMITED,7809610,dissolved,ltd,2021-12-21,England,2011-10-13,"The Annexe, Walton Lodge Hillcliffe Road",Warrington,WA4 6NU,Walton,0,England,56290,True,10,12
204,DELICIOUS NUTRITIOUS LIMITED,7810230,dissolved,ltd,2019-01-10,0,2011-10-14,31 Bath Road,Felixstowe,IP11 7JN,0,Suffolk,0,56290,True,10,01
205,MITHAS CORNER LIMITED,7809192,dissolved,ltd,2015-09-06,0,2011-10-13,47 Scotland Road,Nelson,BB9 7UT,0,0,0,56290,True,10,09
206,MAITLAND & ASSOCIATES LTD,7802970,dissolved,ltd,2014-04-11,0,2011-10-10,1 Leafield Copse,Bracknell,RG12 9YX,0,Berkshire,0,56290,True,10,04
207,F.J.M. TRADING LIMITED,7814378,dissolved,ltd,2018-11-20,0,2011-10-18,258 Leicester Road,Markfield,LE67 9RG,Field Head,Leicestershire,0,56290,True,10,11
208,WILKINSON OUTSIDE CATERING LTD,7814684,dissolved,ltd,2021-01-06,0,2011-10-18,Carlyle House,Bolton,BL1 4BY,78 Chorley New Road,Lancs,0,56290,True,10,01
209,SECURE ANCHORS LTD,7813698,dissolved,ltd,2016-12-20,0,2011-10-18,78 Hartley Road,Nottingham,NG7 3AF,0,0,0,56290,True,10,12
210,SARTAJ SWEET CENTRE LIMITED,7813936,dissolved,ltd,2014-07-10,0,2011-10-18,278 Green Lane Road,Leicester,LE5 4PB,0,0,0,56290,True,10,07
211,F.E.C. FERRARI ENERGY CORPORATION LIMITED,7815909,dissolved,ltd,2016-12-20,0,2011-10-19,2nd Floor Cambridge House,Harlow,CM20 2EQ,Cambridge Road,Essex,0,56290,True,10,12
212,THE OAK BAKERY LIMITED,7817906,active,ltd,1970-01-01,England,2011-10-20,Unit 2.02 High Weald House,Bexhill,TN39 5ES,Glovers End,East Sussex,England,56290,True,10,01
213,PFCHORLEY LIMITED,7818615,dissolved,ltd,2015-02-17,0,2011-10-21,2nd Floor,London,E1 1JE,112-116 Whitechapel Road,0,0,56290,True,10,02
214,EXCELLING LIMITED,7825082,dissolved,ltd,2020-11-24,0,2011-10-27,42 Market Street,Peterborough,PE7 1BD,Whittlesey,0,0,56290,True,10,11
215,BELVEDERE TRADITIONAL LTD,7826497,dissolved,ltd,2018-02-27,0,2011-10-27,340 Kilburn High Road,London,NW6 2QJ,Kilburn,London,0,56290,True,10,02
216,THE SALISBURY CUPCAKE COMPANY LTD,7827147,dissolved,ltd,2014-09-12,0,2011-10-28,Hardy Cottage,Weymouth,DT3 5LZ,Laurel Lane,Dorset,0,56290,True,10,09
217,EKRAN LIMITED,7826861,dissolved,ltd,2016-12-01,United Kingdom,2011-10-28,"5 The Market, Wrythe Lane",Carshalton,SM5 1AG,0,Surrey,United Kingdom,56290,True,10,12
218,ERKAN LIMITED,7826877,dissolved,ltd,2015-02-17,0,2011-10-28,8 High Street,Boston,PE21 8SH,0,Lincolnshire,0,56290,True,10,02
219,NMC HALAL FOODS LIMITED,7829773,dissolved,ltd,2021-12-07,0,2011-10-31,Bespoke Insolvency Solutions,Bury,BL9 6DT,Suite 6 1-7 Taylor Street,0,0,56290,True,10,12
220,ROWSWELL & LEES LTD,7839882,dissolved,ltd,2015-11-18,United Kingdom,2011-09-11,4th Floor Allan House,London,W1G 0AH,10 John Princes Street,0,United Kingdom,56290,True,09,11
221,SIXPENNY KITCHENS LIMITED,7847208,dissolved,ltd,2018-01-23,England,2011-11-14,Sixpenny Nursery,Devizes,SN10 2LT,Roundway Hill Business Centre,Wiltshire,England,56290,True,11,01
222,SIMS GLOBAL LIMITED,7846418,dissolved,ltd,2020-10-20,0,2011-11-14,9a High Street,West Drayton,UB7 7QG,0,0,0,56290,True,11,10
223,TIFFANY'S SUSSEX LTD,7849225,dissolved,ltd,2014-10-21,United Kingdom,2011-11-16,22 North Road,Brighton,BN1 1YA,0,East Sussex,United Kingdom,56290,True,11,10
224,TUBE DINER LIMITED,7848134,dissolved,ltd,2015-05-26,United Kingdom,2011-11-15,26 Berkeley Square,Bristol,BS8 1HP,0,0,United Kingdom,56290,True,11,05
225,CARTERS TEXAS SMOKEPIT LIMITED,7852175,dissolved,ltd,2021-06-07,0,2011-11-18,Trafalgar House 223,Portsmouth,PO6 4PY,Southampton Road,0,0,56290,True,11,06
226,S&S (GB) LTD,7850156,dissolved,ltd,2018-04-24,England,2011-11-16,11 Osborne Close,Beckenham,BR3 3RH,0,0,England,56290,True,11,04
227,UPPERCRUST (LITTLEHAMPTON) LTD,7856780,dissolved,ltd,2019-01-15,0,2011-11-22,9 Vinnetrow Business Park,Chichester,PO20 1QH,Vinnetrow Road,West Sussex,0,56290,True,11,01
